eV	e1	e2
4.950000	3.959499	5.979951	
4.900000	4.168708	6.052847	
4.850000	4.392638	6.116233	
4.800000	4.631594	6.168044	
4.750000	4.885654	6.205946	
4.700000	5.154608	6.227340	
4.650000	5.437862	6.229367	
4.600000	5.734345	6.208943	
4.550000	6.042409	6.162819	
4.500000	6.359704	6.087673	
4.450000	6.683090	5.980244	
4.400000	7.008537	5.837515	
4.350000	7.331089	5.656945	
4.300000	7.644886	5.436728	
4.250000	7.943223	5.176117	
4.200000	8.218793	4.875701	
4.150000	8.463951	4.537701	
4.100000	8.671168	4.166128	
4.050000	8.833506	3.766888	
4.000000	8.945186	3.347641	
3.950000	9.002095	2.917546	
3.900000	9.002227	2.486782	
3.850000	8.945934	2.065965	
3.800000	8.836002	1.665501	
3.750000	8.677500	1.294949	
3.700000	8.477448	0.962504	
3.650000	8.244393	0.674626	
3.600000	7.987930	0.435867	
3.550000	7.718318	0.248878	
3.500000	7.446310	0.114570	
3.450000	7.183473	0.032377	
3.400000	6.944453	0.000574	
3.350000	6.754031	0.000000	
3.300000	6.597138	0.000000	
3.250000	6.460882	0.000000	
3.200000	6.339953	0.000000	
3.150000	6.231151	0.000000	
3.100000	6.132292	0.000000	
3.050000	6.041789	0.000000	
3.000000	5.958434	0.000000	
2.950000	5.881283	0.000000	
2.900000	5.809575	0.000000	
2.850000	5.742690	0.000000	
2.800000	5.680110	0.000000	
2.750000	5.621403	0.000000	
2.700000	5.566198	0.000000	
2.650000	5.514178	0.000000	
2.600000	5.465068	0.000000	
2.550000	5.418631	0.000000	
2.500000	5.374655	0.000000	
2.450000	5.332955	0.000000	
2.400000	5.293367	0.000000	
2.350000	5.255745	0.000000	
2.300000	5.219957	0.000000	
2.250000	5.185887	0.000000	
2.200000	5.153428	0.000000	
2.150000	5.122483	0.000000	
2.100000	5.092966	0.000000	
2.050000	5.064797	0.000000	
2.000000	5.037906	0.000000	
1.950000	5.012225	0.000000	
1.900000	4.987694	0.000000	
1.850000	4.964258	0.000000	
1.800000	4.941865	0.000000	
1.750000	4.920469	0.000000	
1.700000	4.900027	0.000000	
1.650000	4.880497	0.000000	
1.600000	4.861845	0.000000	
1.550000	4.844033	0.000000	
1.500000	4.827033	0.000000	
1.450000	4.810812	0.000000	
1.400000	4.795345	0.000000	
1.350000	4.780606	0.000000	
1.300000	4.766572	0.000000	
1.250000	4.753219	0.000000	